,Frame,"(x,y)",Player ID,Team
0,2,"[179, 169]",1,[     84.806       238.4      207.78]
1,2,"[241, 240]",2,[     162.13      178.44       159.5]
2,2,"[221, 195]",3,[     214.57      233.38      212.03]
3,2,"[185, 159]",4,[     215.09      228.59      210.31]
4,2,"[191, 202]",5,[     3.9091      5.5468       3.123]
5,2,"[174, 295]",6,[     9.4897      15.739      11.362]
6,2,"[151, 217]",7,[     203.22      220.62      199.68]
7,2,"[182, 229]",8,[     212.03      229.31      211.81]
8,2,"[277, 172]",9,[     4.4211      6.1592      3.5606]
9,2,"[237, 160]",10,[     201.86      224.77      201.92]
10,2,"[145, 134]",11,[     196.47      212.81      191.08]
11,2,"[260, 120]",12,[     2.9988      3.9391      2.6557]
12,2,"[147, 191]",13,[      212.8       223.7      206.02]
13,2,"[209, 115]",14,[     196.24      219.12      196.15]
14,2,"[246, 191]",15,[     4.2255      5.6102      3.6454]
15,2,"[230, 63]",16,[     186.97      219.59      185.33]
16,2,"[153, 81]",17,[     219.85      232.86       208.4]
17,2,"[157, 209]",18,[     4.9154      6.8043      4.3629]
18,2,"[204, 300]",19,[     204.44      212.97      199.82]
19,2,"[202, 16]",20,[     105.19      153.19      149.13]
20,2,"[212, 87]",21,[     208.68      226.51      208.56]
21,2,"[150, 82]",22,[     218.43      231.86      206.83]
22,2,"[140, -9]",23,[     108.84      200.48      176.76]
23,3,"[179, 168]",1,[     87.068      237.35      206.23]
24,3,"[241, 239]",2,[     161.52      178.51      159.69]
25,3,"[221, 194]",3,[     215.29      233.45      212.92]
26,3,"[186, 158]",4,[     212.77       227.6      208.27]
27,3,"[191, 202]",5,[     4.1315      5.8902      3.3706]
28,3,"[174, 294]",6,[     9.8402      16.518      11.846]
29,3,"[151, 217]",7,[     200.88      219.69      197.74]
30,3,"[182, 229]",8,[     212.45      230.22      212.02]
31,3,"[278, 171]",9,[     4.5119      6.2992       3.639]
32,3,"[238, 160]",10,[     198.65      222.95      199.66]
33,3,"[145, 133]",11,[     193.06       210.3      188.44]
34,3,"[260, 119]",12,[     3.1002      4.1346      2.8275]
35,3,"[147, 191]",13,[     212.48      222.68      205.17]
36,3,"[209, 115]",14,[      192.9      217.34      193.29]
37,3,"[246, 192]",15,[     4.4442      6.0324      4.1612]
38,3,"[230, 62]",16,[     186.18      219.96      186.06]
39,3,"[153, 82]",17,[     189.55      213.11      182.34]
40,3,"[157, 208]",18,[      4.507      6.2082      3.9418]
41,3,"[204, 300]",19,[     211.49      218.83      207.72]
42,3,"[202, 17]",20,[     106.01      155.23      150.55]
43,3,"[212, 87]",21,[     205.68      224.38       205.1]
44,3,"[150, 82]",22,[     189.69      212.91      181.55]
45,3,"[140, -9]",23,[     105.36      201.11      172.03]
46,4,"[179, 168]",1,[     81.112       238.1      206.74]
47,4,"[241, 239]",2,[      4.411      6.0882      3.3745]
48,4,"[222, 194]",3,[     216.14      234.27      213.97]
49,4,"[186, 158]",4,[     212.74      227.58      208.41]
50,4,"[191, 201]",5,[     3.8916        5.42       3.324]
51,4,"[174, 294]",6,[     10.036      16.914      11.976]
52,4,"[151, 216]",7,[      199.5      217.13      196.56]
53,4,"[182, 229]",8,[      211.6      229.86      212.14]
54,4,"[278, 171]",9,[     4.1645      5.7329      3.3359]
55,4,"[238, 160]",10,[     198.06       222.9      199.65]
56,4,"[145, 132]",11,[     190.65       209.3      186.36]
57,4,"[260, 119]",12,[     3.2429      4.4148      2.9254]
58,4,"[147, 191]",13,[     211.85      222.73      204.49]
59,4,"[209, 115]",14,[     191.12      215.48      191.49]
60,4,"[246, 192]",15,[     4.9828      6.5958      4.4854]
61,4,"[229, 62]",16,[     187.36      220.52      185.82]
62,4,"[153, 82]",17,[     191.82      215.98      188.18]
63,4,"[157, 208]",18,[     4.4329      6.1927      3.7708]
64,4,"[204, 300]",19,[     8.3867      16.109       8.965]
65,4,"[202, 14]",20,[     103.97      152.98      149.77]
66,4,"[212, 86]",21,[     204.38      222.94      203.81]
67,4,"[150, 82]",22,[     191.45      215.73      187.49]
68,4,"[140, -11]",23,[     106.69      198.52      180.13]
69,5,"[178, 168]",1,[     82.133      237.41       206.1]
70,5,"[241, 239]",2,[     3.8792      5.2165       3.262]
71,5,"[221, 195]",3,[     216.36       232.4      212.76]
72,5,"[185, 159]",4,[     211.74      226.67       207.4]
73,5,"[191, 202]",5,[      4.115      5.7262      3.5116]
74,5,"[174, 295]",6,[     9.6699      16.406        11.7]
75,5,"[150, 218]",7,[     197.23      214.88      194.81]
76,5,"[182, 230]",8,[     211.49      230.37      211.74]
77,5,"[277, 171]",9,[     4.1881      5.6678      3.3877]
78,5,"[237, 160]",10,[     200.24      221.95      198.72]
79,5,"[145, 133]",11,[     198.34      214.76      191.82]
80,5,"[260, 120]",12,[     3.2007       4.395      2.8112]
81,5,"[147, 192]",13,[     211.26      222.79      204.39]
82,5,"[208, 116]",14,[     191.78      215.46      191.98]
83,5,"[245, 193]",15,[        4.6      6.1595      3.8587]
84,5,"[228, 62]",16,[     191.51      222.68       189.6]
85,5,"[153, 85]",17,[     191.11      214.58      187.74]
86,5,"[157, 210]",18,[     4.9123      6.9061      4.2968]
87,5,"[204, 300]",19,[     13.052       22.57       15.03]
88,5,"[200, 15]",20,[     106.63      155.26       153.4]
89,5,"[212, 87]",21,[     204.58      222.99      204.64]
90,5,"[150, 84]",22,[     191.65      214.97      188.11]
91,5,"[139, -8]",23,[     107.32      197.19       175.8]
